error,numSignals,selectSignal,samples,doas
False,1,0,10000,[1.3788101090755203]
False,1,0,10000,[1.3613568165555772]
False,1,0,10000,[1.3788101090755203]
False,1,0,10000,[1.3788101090755203]
False,1,0,10000,[1.3788101090755203]
False,1,0,10000,[1.3788101090755203]
False,1,0,10000,[1.3788101090755203]
False,1,0,10000,[1.3788101090755203]
False,1,0,10000,[1.3788101090755203]
False,1,0,10000,[1.3788101090755203]
False,1,0,10000,[1.3788101090755203]
False,1,0,10000,[1.3788101090755203]
False,1,0,10000,[1.3788101090755203]
False,1,0,10000,[1.3613568165555772]
False,1,0,10000,[1.3613568165555772]
False,1,0,10000,[1.3788101090755203]
False,1,0,10000,[1.3788101090755203]
False,1,0,10000,[1.3788101090755203]
False,1,0,10000,[1.3613568165555772]
False,1,0,10000,[1.3788101090755203]
False,1,0,10000,[1.3788101090755203]
False,1,0,10000,[1.3788101090755203]
False,1,0,10000,[1.3788101090755203]
False,1,0,10000,[1.3788101090755203]
False,1,0,10000,[1.3788101090755203]
False,1,0,10000,[1.3788101090755203]
False,1,0,10000,[1.3788101090755203]
False,1,0,10000,[1.3788101090755203]
False,1,0,10000,[1.3788101090755203]
False,1,0,10000,[1.3788101090755203]
False,1,0,10000,[1.3613568165555772]
False,1,0,10000,[1.3613568165555772]
False,1,0,10000,[1.3788101090755203]
False,1,0,10000,[1.3788101090755203]
False,1,0,10000,[1.3613568165555772]
False,1,0,10000,[1.3613568165555772]
False,1,0,10000,[1.3613568165555772]
False,1,0,10000,[1.3788101090755203]
False,1,0,10000,[1.3788101090755203]
False,1,0,10000,[1.3788101090755203]
False,1,0,10000,[1.3788101090755203]
False,1,0,10000,[1.3788101090755203]
False,1,0,10000,[1.3788101090755203]
False,1,0,10000,[1.3788101090755203]
False,1,0,10000,[1.3788101090755203]
False,1,0,10000,[1.3788101090755203]
False,1,0,10000,[1.3788101090755203]
False,1,0,10000,[1.3788101090755203]
False,1,0,10000,[1.3613568165555772]
False,1,0,10000,[1.3788101090755203]
False,1,0,10000,[1.3613568165555772]
False,1,0,10000,[1.3788101090755203]
False,1,0,10000,[1.3788101090755203]
False,1,0,10000,[1.3788101090755203]
False,1,0,10000,[1.3613568165555772]
False,1,0,10000,[1.3613568165555772]
False,1,0,10000,[1.3613568165555772]
False,1,0,10000,[1.3613568165555772]
False,1,0,10000,[1.3613568165555772]
False,1,0,10000,[1.3788101090755203]
False,1,0,10000,[1.3613568165555772]
False,1,0,10000,[1.3613568165555772]
False,1,0,10000,[1.3613568165555772]
False,1,0,10000,[1.3613568165555772]
False,1,0,10000,[1.3613568165555772]
False,1,0,10000,[1.3613568165555772]
False,1,0,10000,[1.3613568165555772]
False,1,0,10000,[1.3613568165555772]
False,1,0,10000,[1.3613568165555772]
False,1,0,10000,[1.3788101090755203]
False,1,0,10000,[1.3613568165555772]
False,1,0,10000,[1.3788101090755203]
False,1,0,10000,[1.3613568165555772]
False,1,0,10000,[1.3788101090755203]
False,1,0,10000,[1.3788101090755203]
False,1,0,10000,[1.3613568165555772]
False,1,0,10000,[1.3613568165555772]
False,1,0,10000,[1.3613568165555772]
False,1,0,10000,[1.3613568165555772]
False,1,0,10000,[1.3788101090755203]
False,1,0,10000,[1.3613568165555772]
False,1,0,10000,[1.3788101090755203]
False,1,0,10000,[1.3613568165555772]
False,1,0,10000,[1.3613568165555772]
False,1,0,10000,[1.3613568165555772]
False,1,0,10000,[1.3613568165555772]
False,1,0,10000,[1.3613568165555772]
False,1,0,10000,[1.3613568165555772]
False,1,0,10000,[1.3613568165555772]
False,1,0,10000,[1.3613568165555772]
False,1,0,10000,[1.3613568165555772]
False,1,0,10000,[1.3613568165555772]
False,1,0,10000,[1.3613568165555772]
False,1,0,10000,[1.3613568165555772]
False,1,0,10000,[1.3613568165555772]
False,1,0,10000,[1.3613568165555772]
False,1,0,10000,[1.3613568165555772]
False,1,0,10000,[1.3613568165555772]
False,1,0,10000,[1.3613568165555772]
