error,numSignals,selectSignal,samples,doas
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.4886921905584125]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.4886921905584125]
False,1,0,10000,[0.4886921905584125]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.4886921905584125]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.4886921905584125]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.4886921905584125]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
False,1,0,10000,[0.47123889803846897]
