error,numSignals,selectSignal,samples,doas
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
False,1,0,10000,[-0.6632251157578452]
