error,numSignals,selectSignal,samples,doas
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
False,1,0,10000,[-0.15707963267948966]
