error,numSignals,selectSignal,samples,doas
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
False,1,0,10000,[-0.3141592653589793]
