error,numSignals,selectSignal,samples,doas,freqOrig,freqMVDR,freqOrigMag,freqMVDRMag
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 304127.99999999994]","[304127.99999999994, 1078271.9999999998, 301055.99999999994]","[57.317078966549545, 28.405056942166524, 13.655142228784968]","[6.39340528758819, 0.6452554729794578, 9.50533144168906]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 304127.99999999994]","[304127.99999999994, 1078271.9999999998, 577535.9999999999]","[57.07028189567899, 28.30843525308689, 27.237732573042724]","[6.291500208133384, 0.6020600483600754, 18.8680176069864]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 304127.99999999994]","[304127.99999999994, 1078271.9999999998, 301055.99999999994]","[57.04505744216937, 28.017787930694745, 24.196051058042578]","[6.435822622843397, 0.6650754380888537, 16.558097762485122]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 304127.99999999994]","[304127.99999999994, 1078271.9999999998, 307199.99999999994]","[57.12375904759538, 28.066688842662856, 22.18799042230583]","[6.232225722284256, 0.599613097708494, 15.42928161247168]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 304127.99999999994]","[304127.99999999994, 1078271.9999999998, 307199.99999999994]","[56.742412034741186, 27.604239964243718, 24.972896826916482]","[6.1343526662260945, 0.6999615529894148, 17.087161666136197]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 304127.99999999994]","[304127.99999999994, 1078271.9999999998, 307199.99999999994]","[56.81145820913587, 27.52478951871362, 16.002820940088398]","[6.008124119590045, 0.6627190490755959, 11.148255152790021]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 304127.99999999994]","[304127.99999999994, 1078271.9999999998, 307199.99999999994]","[56.78541425644377, 27.94832097526655, 15.729473693856326]","[6.083350697241241, 0.573643782293999, 11.088689605892506]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 304127.99999999994]","[304127.99999999994, 1078271.9999999998, 307199.99999999994]","[57.26117993180679, 28.310292540643317, 23.219209993609617]","[6.045612172296778, 0.637498571384965, 16.383177080164838]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 304127.99999999994]","[304127.99999999994, 1078271.9999999998, 307199.99999999994]","[56.9898963379747, 28.501849396466298, 24.377237083553364]","[6.247375514268066, 0.6390320145083804, 16.928597520885074]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 307199.99999999994]","[307199.99999999994, 1078271.9999999998, 577535.9999999999]","[56.7735183189427, 27.985162165039917, 26.720951844243256]","[6.257904251111988, 0.6906880460724805, 18.26259260002023]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 304127.99999999994]","[304127.99999999994, 1078271.9999999998, 307199.99999999994]","[56.8583710605215, 27.72904756147933, 21.03955635036596]","[5.989210942380025, 0.6212961536622195, 14.89760368335028]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 304127.99999999994]","[304127.99999999994, 1078271.9999999998, 577535.9999999999]","[56.98227866862602, 27.613959486894455, 26.963519963943337]","[6.128966584883412, 0.6491310089488057, 18.651199685865308]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 307199.99999999994]","[307199.99999999994, 1078271.9999999998, 304127.99999999994]","[57.13264029629463, 27.669546658953394, 15.83806325909682]","[6.14426824613218, 0.6384566789075029, 10.99788310122511]"
